,Price,equity_index,fx_rate,CL_F,NG_F,RB_F,HRC_F,ALI_F,SMA_5,PPO_12_26,RSI_14,ROC_10,ATR_14,CO_chaikin_3_10
2024-05-30,8900.0,2635.43994140625,1370.550048828125,77.91000366210938,2.572000026702881,2.404599905014038,772.0,2648.0,8876.0,0.4172673205312968,57.90126118230554,0.33821871476888976,27.857142857142858,0.2770812703190231
2024-05-31,8890.0,2636.52001953125,1375.6199951171875,76.98999786376953,2.5869998931884766,2.4260001182556152,761.0,2591.5,8880.0,0.4103150605090456,56.7121505012173,-0.6703910614525133,27.142857142857142,-0.020717405789483223
2024-06-03,8850.0,2682.52001953125,1382.0999755859375,74.22000122070312,2.75600004196167,2.335599899291992,751.0,2601.75,8874.0,0.36417666584020036,52.10279745952887,-0.5617977528089901,27.142857142857142,-0.4588425545802792
2024-06-04,8640.0,2662.10009765625,1370.7900390625,73.25,2.5859999656677246,2.3494999408721924,741.0,2599.5,8828.0,0.13448209037329234,35.69849543748293,-2.7027027027026973,40.0,-0.9145444286692168
2024-06-05,8600.0,2689.5,1373.719970703125,74.06999969482422,2.756999969482422,2.353600025177002,742.0,2558.25,8776.0,-0.08381063363058326,33.53282561340433,-2.824858757062143,40.714285714285715,-1.3360093381902232
2024-06-06,8620.0,2706.0849609375,1368.739990234375,75.55000305175781,2.821000099182129,2.3975000381469727,730.0,2592.75,8720.0,-0.23631256852440996,35.6353658956004,-2.708803611738153,36.42857142857143,-1.0687895886133418
2024-06-07,8640.0,2722.669921875,1365.25,75.52999877929688,2.9179999828338623,2.3826000690460205,728.0,2507.75,8670.0,-0.3352667644411095,37.755780644356506,-2.5930101465614475,34.285714285714285,-0.5441279102761314
2024-06-10,8650.0,2701.169921875,1379.050048828125,77.73999786376953,2.9059998989105225,2.410900115966797,725.0,2499.5,8630.0,-0.40008476669258125,38.84068342679874,-2.5900900900900914,33.57142857142857,0.03815440452328289
2024-06-11,8680.0,2705.320068359375,1373.9599609375,77.9000015258789,3.128999948501587,2.408900022506714,728.0,2459.25,8638.0,-0.419043821307824,42.10106416104492,-2.1420518602029315,33.57142857142857,0.5910740419845624
2024-06-12,8670.0,2728.169921875,1377.3599853515625,78.5,3.0450000762939453,2.394399881362915,733.0,2496.75,8652.0,-0.43833299605559595,41.310513481476896,-2.1444695259593693,33.57142857142857,0.4453526171292168
2024-06-13,8710.0,2754.889892578125,1370.4100341796875,78.62000274658203,2.9590001106262207,2.415600061416626,735.0,2477.0,8670.0,-0.41190499340608744,45.702501434444,-2.134831460674158,35.714285714285715,0.6634345235857353
2024-06-14,8760.0,2758.419921875,1373.739990234375,78.44999694824219,2.88100004196167,2.399600028991699,735.0,2440.75,8694.0,-0.34077425113620224,50.671755344490386,-1.462317210348707,38.57142857142857,1.0105194377192461
2024-06-17,8820.0,2744.10009765625,1382.280029296875,80.33000183105469,2.7880001068115234,2.446899890899658,735.0,2425.5,8728.0,-0.22636727291371306,55.88881733145981,-0.3389830508474523,42.142857142857146,1.378825135526661
2024-06-18,8850.0,2763.919921875,1379.06005859375,81.56999969482422,2.9089999198913574,2.4832000732421875,732.0,2416.5,8762.0,-0.10689376468459177,58.26554680029994,2.430555555555558,43.57142857142857,1.7223297268545394
2024-06-19,8910.0,2797.330078125,1378.6099853515625,81.86999893188477,2.8249999284744263,2.4919999837875366,728.5,2429.125,8810.0,0.042350794492207675,62.605217176459554,3.604651162790695,45.0,2.0244607208655303
2024-06-20,8900.0,2807.6298828125,1381.1500244140625,82.16999816894531,2.740999937057495,2.5007998943328857,725.0,2441.75,8848.0,0.1494456137004438,61.45818609351654,3.2482598607888713,45.0,1.64583606197316
2024-06-21,8940.0,2784.260009765625,1391.8199462890625,80.7300033569336,2.7049999237060547,2.513700008392334,721.0,2432.25,8884.0,0.26765748558094327,64.27754660956515,3.472222222222232,45.0,1.6595045140650804
